LP	Substancja	EAN	Nazwa	Postać	Dawka	Zawartość	Wskazania	Odpłatność	Dopłata
1	8-Methoxypsoralenum	05909990244713	Oxsoralen	kaps. miękkie	10 mg	50 szt. (5 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	30%	5,27
2	Acarbosum	05909990893423	Adeksa	tabletki	100 mg	30 szt.	Cukrzyca	30%	5,47
3	Acarbosum	05909990893386	Adeksa	tabletki	50 mg	30 szt.	Cukrzyca	30%	4,03
4	Acarbosum	05909990285518	Glucobay 100	tabletki	100 mg	30 szt. (2 blist.po 15 szt.)	Cukrzyca	30%	5,47
5	Acarbosum	05909990285419	Glucobay 50	tabletki	50 mg	30 szt. (2 blist.po 15 szt.)	Cukrzyca	30%	4,03
6	Acarbosum	05909990335541	Glucobay 50	tabletki	50 mg	90 szt. (6 blist.po 15 szt.)	Cukrzyca	30%	9,98
7	Acebutololi hydrochloridum	05909991370916	Acebutolol Aurovitas	tabletki powlekane	200 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	ryczałt	5,60
8	Acebutololi hydrochloridum	05909991370954	Acebutolol Aurovitas	tabletki powlekane	400 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	ryczałt	7,58
9	Acebutololum	05909990109920	Sectral 200	tabletki powlekane	200 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	ryczałt	8,41
10	Acebutololum	05909990110018	Sectral 400	tabletki powlekane	400 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	ryczałt	11,92
11	Acenocoumarolum	05909990055715	Acenocumarol WZF	tabletki	4 mg	60 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	ryczałt	5,12
12	Aciclovirum	05909991049515	Hascovir	tabletki	200 mg	30 szt. (2 blist.po 15 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	7,58
13	Aciclovirum	05909991052218	Hascovir	tabletki	400 mg	30 szt. (2 blist.po 15 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	11,29
14	Aciclovirum	05909990835782	Hascovir	tabletki	800 mg	30 szt.	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	21,30
15	Aciclovirum	05909990840014	Heviran	tabletki powlekane	200 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	9,47
16	Aciclovirum	05909990840113	Heviran	tabletki powlekane	400 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	15,29
17	Aciclovirum	05909990840229	Heviran	tabletki powlekane	800 mg	30 szt. (3 blist.po 10 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji	50%	24,70
18	Acidum alendronicum	05909990072156	Alendran 70	tabletki	70 mg	4 szt. (1 blist.po 4 szt.)	Osteoporoza	30%	3,60
19	Acidum alendronicum	05909990623112	Alendrogen	tabletki	70 mg	4 szt.	Osteoporoza	30%	3,02
20	Acidum alendronicum	05909990737673	Alendronat Bluefish	tabletki	70 mg	4 szt.	Osteoporoza	30%	2,64
21	Acidum alendronicum	05909990675302	Alendronic Acid Genoptim	tabletki	70 mg	4 szt. (1 blist.po 4 szt.)	Osteoporoza	30%	2,81
22	Acidum alendronicum	05909991081713	Ostemax 70 comfort	tabletki	70 mg	4 szt. (1 blist.po 4 szt.)	Osteoporoza	30%	3,68
23	Acidum alendronicum	05909991087418	Ostenil 70	tabletki	70 mg	4 szt. (1 blist.po 4 szt.)	Osteoporoza	30%	3,82
24	Acidum alendronicum	05909991087425	Ostenil 70	tabletki	70 mg	6 szt. (1 blist.po 6 szt.)	Osteoporoza	30%	5,31
25	Acidum alendronicum	05909991032517	Ostolek	tabletki powlekane	70 mg	4 szt. (1 blist.po 4 szt.)	Osteoporoza	30%	3,57
26	Acidum folicum	05909990109319	Acidum folicum Richter	tabletki	15 mg	30 szt. (1 blist.po 30 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem	ryczałt	5,88
27	Acidum folicum	05909990109210	Acidum folicum Richter	tabletki	5 mg	30 szt. (1 blist.po 30 szt.)	We wszystkich zarejestrowanych wskazaniach na dzień wydania decyzji; <1> choroby reumatyczne - u pacjentów leczonych metotreksatem; <2> łuszczyca - u pacjentów leczonych metotreksatem	ryczałt	3,51
28	Acidum mycophenolicum	05909991227272	Marelim	tabletki dojelitowe	180 mg	120 tabl.	Stan po przeszczepie narządu unaczynionego bądź szpiku; stan po przeszczepie kończyny, rogówki, tkanek lub komórek	ryczałt	21,12
29	Acidum mycophenolicum	05909991227319	Marelim	tabletki dojelitowe	360 mg	120 tabl.	Stan po przeszczepie narządu unaczynionego bądź szpiku; stan po przeszczepie kończyny, rogówki, tkanek lub komórek	ryczałt	40,54
