LP	Substancja	EAN	Nazwa	Postać	Dawka	Zawartość	Wskazania	Odpłatność	Dopłata
1	Abemaciclibum	05014602500986	Verzenios	tabletki powlekane	100 mg	70 szt.	dostępne w ramach programu lekowego	bezpłatny	0
2	Abemaciclibum	05014602500993	Verzenios	tabletki powlekane	150 mg	70 szt.	dostępne w ramach programu lekowego	bezpłatny	0
3	Abemaciclibum	05014602500979	Verzenios	tabletki powlekane	50 mg	70 szt.	dostępne w ramach programu lekowego	bezpłatny	0
4	Abirateroni acetas	05909991307080	Zytiga	tabletki powlekane	500 mg	60 szt.	dostępne w ramach programu lekowego	bezpłatny	0
5	Adalimumabum	08715131019761	Amgevita	roztwór do wstrzykiwań	20 mg	1 amp.-strzyk. 0,4 ml	dostępne w ramach programu lekowego	bezpłatny	0
7	Adalimumabum	08715131019808	Amgevita	roztwór do wstrzykiwań	40 mg	2 amp.-strzyk. 0,8 ml	dostępne w ramach programu lekowego	bezpłatny	0
8	Adalimumabum	08715131019792	Amgevita	roztwór do wstrzykiwań	40 mg	2 wstrzykiwacze 0,8 ml	dostępne w ramach programu lekowego	bezpłatny	0
6	Adalimumabum	08715131019754	Amgevita	roztwór do wstrzykiwań	40 mg	6 amp.-strzyk. 0,8 ml	dostępne w ramach programu lekowego	bezpłatny	0
9	Adalimumabum	08715131019747	Amgevita	roztwór do wstrzykiwań	40 mg	6 wstrzykiwaczy 0,8 ml	dostępne w ramach programu lekowego	bezpłatny	0
10	Adalimumabum	08054083011905	Humira	roztwór do wstrzykiwań	40 mg	2 amp.-strz. + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
12	Adalimumabum	05909990005055	Humira	roztwór do wstrzykiwań	40 mg	2 amp.-strz. + 2 gaziki nasączone alkoholem	dostępne w ramach programu lekowego	bezpłatny	0
11	Adalimumabum	08054083011912	Humira	roztwór do wstrzykiwań	40 mg	2 wstrz. + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
13	Adalimumabum	07613421020897	Hyrimoz	roztwór do wstrzykiwań w ampułko-strzykawce	40 mg	2 amp. - strzyk. z zabezpieczeniem	dostępne w ramach programu lekowego	bezpłatny	0
14	Adalimumabum	07613421020880	Hyrimoz	roztwór do wstrzykiwań w ampułko-strzykawce	40 mg	2 wstrzykiwacze	dostępne w ramach programu lekowego	bezpłatny	0
15	Adalimumabum	04052682034206	Idacio	roztwór do wstrzykiwań	40 mg	1 fiol. 0,8 ml + 1 strzyk. + 1 igła + 1 nasadka + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
16	Adalimumabum	04052682034213	Idacio	roztwór do wstrzykiwań w ampułko-strzykawce	40 mg	2 amp.-strzyk. 0,8 ml + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
17	Adalimumabum	04052682034220	Idacio	roztwór do wstrzykiwań we wstrzykiwaczu	40 mg	2 wstrzykiwacze 0,8 ml + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
18	Adalimumabum	08809593170150	Imraldi	roztwór do wstrzykiwań we ampułko-strzykawce	40 mg	2 amp.-strzyk. 0,8 ml + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
19	Adalimumabum	08809593170167	Imraldi	roztwór do wstrzykiwań we wstrzykiwaczu	40 mg	2 wstrzykiwacze 0,8 ml + 2 gaziki	dostępne w ramach programu lekowego	bezpłatny	0
20	Adefoviri dipivoxilum	05909990009596	Hepsera	tabletki	10 mg	30 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
21	Afatinib	05909991083397	Giotrif	tabletki powlekane	20 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
22	Afatinib	05909991083434	Giotrif	tabletki powlekane	30 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
23	Afatinib	05909991083465	Giotrif	tabletki powlekane	40 mg	28 tabl.	dostępne w ramach programu lekowego	bezpłatny	0
24	Aflibercept	03837000137095	Eylea	roztwór do wstrzykiwań	40 mg/ml	1 fiol.a 0,1 ml	dostępne w ramach programu lekowego	bezpłatny	0
25	Aflibercept	05909991039400	Zaltrap	koncentrat do sporządzania roztworu do infuzji	25 mg/ml	1 fiol. 4 ml	dostępne w ramach programu lekowego	bezpłatny	0
26	Aflibercept	05909991039462	Zaltrap	koncentrat do sporządzania roztworu do infuzji	25 mg/ml	1 fiol. 8 ml	dostępne w ramach programu lekowego	bezpłatny	0
27	Agalsidasum alfa	05909990999514	Replagal	koncentrat do sporządzania roztworu do infuzji	1 mg/ml	1 fiol. 3,5 ml	dostępne w ramach programu lekowego	bezpłatny	0
